iso_code,country_name,year,UN_subregion,UN_region,SDG_region,UNICEF_region,WHO_region,WB_income_group,WB_region,survey_sample_size,severe_wasting,wasting,overweight,stunting,underweight,notes,report_author,source,under5,moderate_wasting,stunting_children,wasting_children,severe_wasting_children,moderate_wasting_children,overweight_children,underweight_children,severe_wasting_needs_kg,moderate_wasting_needs_kg,wasting_needs_kg,stunting_needs_kg
AFG,AFGHANISTAN,1997,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,EMRO,Low Income,South Asia,4846.0,0.0,18.2,6.5,53.2,44.9,Converted estimates,0,"Afghanistan 1997 multiple indicator baseline (MICS). Report to UNICEF. Acapulco: Centro de Investigacion de Enfermedades Tropicales (CIET), 1998 (and additional analysis).",3637632,0.0,1935220,662049,0,0,236446,1633296,0,0,0,6966792
AFG,AFGHANISTAN,2004,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,EMRO,Low Income,South Asia,946.0,3.5,8.6,4.6,59.3,32.9,0,"Ministry of Public Health (Afghanistan), UNICEF, CDC, National Institute for Research on Food and Nutrition (Italy), Tufts University.","Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",4667487,5.1,2767819,401403,163362,238041,214704,1535603,2210287,1487756,3698043,9964148
AFG,AFGHANISTAN,2013,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,EMRO,Low Income,South Asia,21922.0,4.0,9.5,5.4,40.9,25.0,(pending reanalysis),"Ministry of Public Health, UNICEF and the Aga Khan University (AKU).",Afghanistan National Nutrition Survey 2013.,5235867,5.5,2141469,497407,209434,287972,282736,1308966,2833642,1799825,4633467,7709288
ALB,ALBANIA,1997,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,7642.0,0.0,8.1,9.5,20.4,7.1,Converted estimates,"Institute of Public Health, Food and Nutrition Section","National study on nutrition in Albania. Institute of Public Health, Food and Nutrition Section, 1999 (and additional analysis).",307887,0.0,62808,24938,0,0,29249,21859,0,0,0,226108
ALB,ALBANIA,2000,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,1385.0,6.2,12.2,30.0,39.2,17.0,0,National Institute of Statistics (Albania) and UNICEF Albania.,"Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family, Institute of Public Health, Faculty of Social Sciences and UNICEF (Albania). Tirana, Albania: UNICEF, 2000 (and additional analysis).",278753,5.999999999999999,109271,34007,17282,16725,83625,47388,233825,104531,338356,393375
ALB,ALBANIA,2005,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,1090.0,3.7,7.3,25.2,27.0,6.6,0,Albanian National Institute of Statistics.,"Albania multiple indicator cluster survey 2005, final report. Tirana, Albania: Albanian National Institute of Statistics, 2008 (and additional analysis).",219025,3.5999999999999996,59136,15988,8103,7884,55194,14455,109633,49275,158908,212889
ALB,ALBANIA,2009,Southern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,1490.0,5.9,9.4,23.4,23.1,6.3,0,"Institute of Statistics, Institute of Public Health [Albania] and ICF Macro.","Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010 (and additional analysis).",179148,3.5,41383,16839,10569,6270,41920,11286,142998,39187,182185,148978
DZA,ALGERIA,1987,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,2344.0,0.0,4.0,0.0,16.9,8.0,Converted estimates,Institut National de Santé Publique,"Etat nutritionnel des enfants algériens de 0 à 10 ans et niveaux d'urbanisation d'après les résultats préliminaires de l'enquête épidémiologique sur la malnutrition protéino-énérgétique en 1987. Institut National de Santé Publique, Algiers; 1987.",3979162,0.0,672478,159166,0,0,0,318332,0,0,0,2420920
DZA,ALGERIA,1992,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,4629.0,3.0,7.1,8.7,22.9,9.2,0,République Algérienne démocratique et populaire.,"Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo: Ligue des Etats Arabes, 1992 (and additional analysis).",3942777,4.1,902895,279937,118283,161653,343021,362735,1600368,1010331,2610699,3250422
DZA,ALGERIA,1995,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,3825.0,4.2,9.6,13.2,22.5,11.3,0,Ministère de la Santé et de la Population.,"Enquête nationale sur les objectifs de la mi-decennie, ""MDG Algerie"", 1995. Alger, Algerie, 1996 (and additional analysis).",3734288,5.3999999999999995,840214,358491,156840,201651,492926,421974,2122045,1260318,3382363,3024770
