date,supplier,product,value
2012-01,Nutriset,Plumpy Sup,3 886 900.00
2012-01,Nutriset,Plumpy Products,6 112 300.00
2012-01,Nutriset,RUF (Plumpy Doz),2 163 213.94
2012-02,NUTRISET,RUF,4 455 650.71
2012-02,EDESIA,RUF,283 627.00
2012-02,Nutriset,Plumpy Doz,2 115 000.00
2012-02,Nutriset,Plumpy Sup,7 851 600.00
2012-02,Compact,Plumpy Sup,6 067.00
2012-02,Nutriset,Plumpy Doz/Plumpy Sup,3 620 300.00
2012-03,Nutriset,Plumpy Doz,1 955 000.00
2012-03,Nutrivita,Plumpy Doz,1 531 500.00
2012-05,Compact,Plumpy Sup,8 676.00
2012-05,Nutriset,Plumpy Sup,6 068.00
2012-05,Nutriset,: Plumpy Sup,2 846 300.00
2012-05,Compact,Plumpy Sup,8 063.00
2012-06,Nutriset,Plumpy Doz/Plumpy Sup,1 389 900.00
2012-06,Compact,Plumpy Sup,8 734.00
2012-06,Edesia,Plumpy Sup,3 388.00
2012-10,Edesia,Plumpy Sup,206 300.00
2012-10,JB,Plumpy Doz,56 100.00
2012-10,Nutriset,Plumpy Doz,667 800.00
2012-10,JB,Plumpy Doz,159 500.00
2012-11,JB,PLUMPY DOZ,157 878.02
2012-11,NUTRISET,PLUMPY DOZ / PLUMPY SUP,140 398.20
2012-12,Compact AS,PLUMPY SUP,342 795.00
2012-12,Edesia,PLUMPY SUP,1 598 902.50
2012-12,Nutriset,PLUMPY SUP,4 632 527.59
2012-12,Nutrivita Foods Pvt Ltd,PLUMPY SUP,437 736.00
2013-01,COMPACT INDIA PRIVATE LIMITED,Plumpy Sup,651 996.09
2013-01,NUTRISET,Plumpy Sup / Plumpy Doz,2 759 888.57
2013-02,Edesia,Plumpy Sup,442 773.00
2013-02,NUTRISET,Plumpy Sup,943 691.07
2013-02,Edesia,Nutributter,48 300.00
2013-02,NUTRISET,Nutributter,18 578.56
2013-02,COMPACT INDIA PRIVATE LIMITED,Plumpy Doz,60 194.39
2013-02,NUTRISET,Plumpy Sup / Plumpy Doz,1 935 042.85
2013-02,NUTRIVITA FOODS PVT LTD,Plumpy Doz,238 680.00
2013-02,NUTRISET,Plumpy Sup,185 065.31
2013-03,NUTRISET,Plumpy Sup / Plumpy Doz,4 270 739.93
2013-04,COMPACT INDIA PRIVATE LIMITED,Plumpy Sup / Plumpy Doz,2 442 977.55
2013-04,Edesia,Plumpy Sup,1 299 753.00
2013-04,Nutriset,Plumpy Sup / Plumpy Doz,1 898 616.36
2013-04,NUTRIVITA FOODS PVT LTD,Plumpy Sup / Plumpy Doz,641 513.70
2013-04,Edesia,Plumpy Sup,1 599 696.00
2013-04,Nutriset,Plumpy Sup,5 710 285.10
2013-05,Edesia,Plumpy Sup,662 255.10
2013-05,Nutriset,Plumpy Sup / Plumpy Doz,3 631 752.98
2013-05,Nutriset,Nutributter,37 838.44
2013-05,Nutriset,Plumpy Sup / Plumpy Doz,5 069 952.98
2014-01,COMPACT INDIA PRIVATE LIMITED,Plumpy Sup,651 996.09
2014-01,NUTRISET,Plumpy Sup / Plumpy Doz,2 741 189.86
2014-02,Edesia,Plumpy Sup,442 773.00
2014-02,NUTRISET,Plumpy Sup,997 684.43
2014-02,Edesia,Nutributter,48 300.00
2014-02,NUTRISET,Nutributter,19 641.53
2014-02,COMPACT INDIA PRIVATE LIMITED,Plumpy Doz,60 194.39
2014-02,NUTRISET,Plumpy Sup / Plumpy Doz,1 935 042.85
2014-02,NUTRIVITA FOODS PVT LTD,Plumpy Doz,238 680.00
2014-02,NUTRISET,Plumpy Sup,195 653.84
2014-03,NUTRISET,Plumpy Sup / Plumpy Doz,4 587 547.55
2014-04,COMPACT INDIA PRIVATE LIMITED,Plumpy Sup / Plumpy Doz,2 442 977.55
2014-04,Edesia,Plumpy Sup,1 299 753.00
2014-04,Nutriset,Plumpy Sup / Plumpy Doz,1 999 697.09
2014-04,NUTRIVITA FOODS PVT LTD,Plumpy Sup / Plumpy Doz,641 513.70
2014-04,Edesia,Plumpy Sup,1 599 696.00
2014-04,Nutriset,Plumpy Sup,6 014 295.87
2014-05,Edesia,Plumpy Sup,662 255.10
2014-05,Nutriset,Plumpy Sup / Plumpy Doz,3 808 325.63
2014-05,Nutriset,Nutributter,39 678.11
2014-05,Nutriset,Plumpy Sup / Plumpy Doz,5 316 449.65
2014-07,Edesia,Nutributter,34 800.00
2014-10,Nutriset,Nutributter,283 606.08
2015-03,EDESIA GLOBAL NUTRITION SOLUTIONS,LNS-LQ (Plumpy Sup),577 668.00
2015-03,NUTRISET,LNS-SQ (Nutributter),80 482.50
2015-03,COMPACT INDIA PRIVATE LIMITED,LNS-MQ (Plumpy Doz),3 697 147.80
2015-03,EDESIA GLOBAL NUTRITION SOLUTIONS,LNS-LQ (Plumpy Sup),1 244 898.00
